ACCTCD,DR_sum,CR_sum,balance,Differ
10100,125649815,124027515,6987040,-5364740
10200,1735072699,1735072699,0,0
10301,90863358102,90172042718,5579388070,-4888072686
10302,785906508,439897964,363974384,-17965840
10501,7800000000,8400000000,6800000000,-7400000000
10502,125175743,347606170,110175743,-332606170
10600,-54781102,0,10362958,-65144060
10800,29594408190,29451728317,5617778355,-5475098482
10900,101829493,-230485439,-2117228671,2449543603
11000,45660000,41745000,11415000,-7500000
11300,2198530529,2045283405,415064062,-261816938
11400,644071735,522703949,294551782,-173183996
11600,81101123,63418405,81101123,-63418405
12001,6125258326,5356777094,1431604175,-663122943
12002,659869166,667534032,-66283480,58618614
12100,0,180,-113148243,113148063
12300,359018963,573082916,132956666,-347020619
12501,718386,0,51692835,-50974449
13100,2970825496,3505225496,653319612,-1187719612
13300,439666422,433416826,14449386,-8199790
13500,1635181552,1635181552,0,0
13600,50226996,128098925,0,-77871929
14600,2809152612,2790687018,22012488,-3546894
14700,15348084723,15348084723,0,0
14900,3205445534,3181762507,30142742,-6459715
15700,15348084723,15348084723,0,0
15800,4623930891,4623930891,0,0
16000,0,16200000,-16200000,0
16100,0,605000,-605000,0
17600,-706864454,500000,730110423,-1437474877
17800,1596844735,1506900699,2713060532,-2623116496
17901,-103110135,80000000,26491365,-209601500
18400,300000000,399999000,102001000,-202000000
18700,0,34115000,20000000,-54115000
18800,512740000,35000000,1627740000,-1150000000
19000,22600000,49700000,71144000,-98244000
19100,817976776,0,2089274322,-1271297546
19600,-372875588,0,1814154230,-2187029818
19700,196286320,87970330,1420390243,-1312074253
20300,0,108387659,-899157108,790769449
20600,47536182,0,1240254486,-1192718304
20700,0,81300242,-1076561085,995260843
21000,14905000,0,44805000,-29900000
21100,0,745250,-30643250,29898000
21200,15500000,0,825422753,-809922753
21300,0,77785564,-562155876,484370312
21600,0,83030559,-860171816,777141257
22100,88550000,70755544,354562970,-336768514
22200,70733544,35006187,-212732495,248459852
22300,375414100,1131915340,1064104350,-1820605590
22400,1131854340,162427654,-465221502,1434648188
22800,48825626,25400674,-91863739,115288691
23100,2305898,0,742755834,-740449936
23200,0,851991,2749387,-3601378
23300,0,567418,0,-567418
24000,0,42417567,15149451,-57567018
24100,25988495,0,-6676963,32665458
24201,0,11000000,278001000,-289001000
24202,0,15488000,0,-15488000
24300,719407000,17985175,701421825,0
25100,15223273712,14615246855,-1587009968,2195036825
25301,9722666069,9400637955,330157208,-8129094
25303,0,467763970,-1159648460,691884490
25401,55478400,55588230,-268340,158510
25402,430257730,429244340,-34146190,35159580
25404,322483515,329410055,-30405530,23478990
25500,2629728026,2629728026,0,0
25800,2303818353,2249037251,-10362958,65144060
25900,10644969094,12171544244,-2682785937,1156210787
26000,654507402,654507402,0,0
26100,168461707,712829172,-544367465,0
26200,333275558,331424739,-2849286,4700105
26400,0,0,-1777760000,1777760000
26500,1200607056,1200607056,0,0
26900,0,-1002727743,0,1002727743
27200,651330513,1003100241,-504437561,152667833
27300,831365510,831327640,-457405620,457443490
27400,165000000,240000000,-536000000,461000000
29300,1777760000,0,-888880000,2666640000
29500,94586217,200368775,-1870861457,1765078899
30700,0,-40000000,0,40000000
31000,0,0,0,0
31400,0,-11722329,-85332078,97054407
33000,99554260,0,-438223199,537777459
34900,351209867,0,351209867,0
35100,0,120060706,-191685447,71624741
37400,31216627,36377018,117554457,-122714848
37500,1320667762,0,-19452387360,20773055122
38900,-115125145,-25327532,56201942,-145999555
40100,0,3009362464,3009362464,-6018724928
40100,0,3009362464,-3009362464,0
40401,0,21283534544,21283534544,-42567069088
40401,0,21283534544,-21283534544,0
40700,0,6392231847,6392231847,-12784463694
40700,0,6392231847,-6392231847,0
41100,0,835887519,835887519,-1671775038
41100,0,835887519,-835887519,0
41200,0,33453005,33453005,-66906010
41200,0,33453005,-33453005,0
45100,2790687018,0,-2790687018,5581374036
45100,2790687018,0,2790687018,0
45500,15348084723,0,-15348084723,30696169446
45500,15348084723,0,15348084723,0
46100,4623930891,0,-4623930891,9247861782
46100,4623930891,0,4623930891,0
46200,247611343,0,-247611343,495222686
46200,247611343,0,247611343,0
46303,27586554,0,-27586554,55173108
46303,27586554,0,27586554,0
50100,3180884538,3180884538,0,0
50100,3180884538,3180884538,0,0
50300,3141384115,3141384115,0,0
50300,3141384115,3141384115,0,0
50500,369478314,369478314,0,0
50500,369478314,369478314,0,0
50700,115536766,115536766,0,0
50700,115536766,115536766,0,0
51000,383528473,383528473,0,0
51000,383528473,383528473,0,0
51100,560249093,560249093,0,0
51100,560249093,560249093,0,0
51200,311436982,311436982,0,0
51200,311436982,311436982,0,0
51300,58243581,58243581,0,0
51300,58243581,58243581,0,0
51400,89100820,89100820,0,0
51400,89100820,89100820,0,0
51500,28341912,28341912,0,0
51500,28341912,28341912,0,0
51700,1097320,1097320,0,0
51700,1097320,1097320,0,0
51800,41613762,41613762,0,0
51800,41613762,41613762,0,0
51900,87469854,87469854,0,0
51900,87469854,87469854,0,0
52000,1536537,1536537,0,0
52000,1536537,1536537,0,0
52100,27948100,27948100,0,0
52100,27948100,27948100,0,0
52200,28364619,28364619,0,0
52200,28364619,28364619,0,0
52400,5421176,5421176,0,0
52400,5421176,5421176,0,0
52500,1750000,1750000,0,0
52500,1750000,1750000,0,0
52600,7295951,7295951,0,0
52600,7295951,7295951,0,0
52700,50317360,50317360,0,0
52700,50317360,50317360,0,0
53000,38097103,38097103,0,0
53000,38097103,38097103,0,0
53100,112875589,112875589,0,0
53100,112875589,112875589,0,0
53300,7652957776,7652957776,0,0
53300,7652957776,7652957776,0,0
53800,55277725,55277725,0,0
53800,55277725,55277725,0,0
53900,605000,605000,0,0
53900,605000,605000,0,0
54100,-1002727743,-1002727743,0,0
54100,-1002727743,-1002727743,0,0
60101,2071186807,2071186807,0,0
60101,2071186807,2071186807,0,0
60102,53622292,53622292,0,0
60102,53622292,53622292,0,0
60103,7584900,7584900,0,0
60103,7584900,7584900,0,0
60104,3520000,3520000,0,0
60104,3520000,3520000,0,0
60106,9724405,9724405,0,0
60106,9724405,9724405,0,0
60300,302968824,302968824,0,0
60300,302968824,302968824,0,0
60400,22718060,22718060,0,0
60400,22718060,22718060,0,0
60500,30173284,30173284,0,0
60500,30173284,30173284,0,0
60900,24934979,24934979,0,0
60900,24934979,24934979,0,0
61100,41142000,41142000,0,0
61100,41142000,41142000,0,0
61200,23955959,23955959,0,0
61200,23955959,23955959,0,0
61300,27277120,27277120,0,0
61300,27277120,27277120,0,0
61400,15922075,15922075,0,0
61400,15922075,15922075,0,0
61500,101637816,101637816,0,0
61500,101637816,101637816,0,0
61700,7804962,7804962,0,0
61700,7804962,7804962,0,0
61800,238622590,238622590,0,0
61800,238622590,238622590,0,0
61900,207897906,207897906,0,0
61900,207897906,207897906,0,0
62000,4812500,4812500,0,0
62000,4812500,4812500,0,0
62100,1276490,1276490,0,0
62100,1276490,1276490,0,0
62300,444558,444558,0,0
62300,444558,444558,0,0
62400,693968980,693968980,0,0
62400,693968980,693968980,0,0
62500,22500,22500,0,0
62500,22500,22500,0,0
62600,4484350,4484350,0,0
62600,4484350,4484350,0,0
62700,5606960,5606960,0,0
62700,5606960,5606960,0,0
63000,29742687,29742687,0,0
63000,29742687,29742687,0,0
63100,66760365,66760365,0,0
63100,66760365,66760365,0,0
63300,626117522,626117522,0,0
63300,626117522,626117522,0,0
71500,57575363,57575363,0,0
71500,57575363,57575363,0,0
71800,83030559,83030559,0,0
71800,83030559,83030559,0,0
73800,107005421,107005421,0,0
73800,107005421,107005421,0,0
80200,993907754,0,-993907754,1987815508
80200,993907754,0,993907754,0
80300,78031630,0,-78031630,156063260
80300,78031630,0,78031630,0
80500,46631111,0,-46631111,93262222
80500,46631111,0,46631111,0
80800,83464473,0,-83464473,166928946
80800,83464473,0,83464473,0
81100,258088221,0,-258088221,516176442
81100,258088221,0,258088221,0
81200,11073180,0,-11073180,22146360
81200,11073180,0,11073180,0
81301,227987829,0,-227987829,455975658
81301,227987829,0,227987829,0
81400,23582880,0,-23582880,47165760
81400,23582880,0,23582880,0
81500,28211408,0,-28211408,56422816
81500,28211408,0,28211408,0
81700,203347435,0,-203347435,406694870
81700,203347435,0,203347435,0
81800,136590578,0,-136590578,273181156
81800,136590578,0,136590578,0
81900,87440970,0,-87440970,174881940
81900,87440970,0,87440970,0
82000,3652000,0,-3652000,7304000
82000,3652000,0,3652000,0
82100,29034647,0,-29034647,58069294
82100,29034647,0,29034647,0
82200,18373464,0,-18373464,36746928
82200,18373464,0,18373464,0
82400,935670,0,-935670,1871340
82400,935670,0,935670,0
82500,5211400,0,-5211400,10422800
82500,5211400,0,5211400,0
82600,9723050,0,-9723050,19446100
82600,9723050,0,9723050,0
82701,6575568,0,-6575568,13151136
82701,6575568,0,6575568,0
83000,54748488,0,-54748488,109496976
83000,54748488,0,54748488,0
83100,692782659,0,-692782659,1385565318
83100,692782659,0,692782659,0
83300,178276086,0,-178276086,356552172
83300,178276086,0,178276086,0
83500,-230485259,0,230485259,-460970518
83500,-230485259,0,-230485259,0
83700,84477963,0,-84477963,168955926
83700,84477963,0,84477963,0
83900,93828725,0,-93828725,187657450
83900,93828725,0,93828725,0
84000,1877381945,0,-1877381945,3754763890
84000,1877381945,0,1877381945,0
84001,883377260,0,-883377260,1766754520
84001,883377260,0,883377260,0
84002,30424690,0,-30424690,60849380
84002,30424690,0,30424690,0
84003,-1309124319,0,1309124319,-2618248638
84003,-1309124319,0,-1309124319,0
84004,-799333763,0,799333763,-1598667526
84004,-799333763,0,-799333763,0
85100,851991,0,-851991,1703982
85100,851991,0,851991,0
85200,567418,0,-567418,1134836
85200,567418,0,567418,0
85300,16429072,0,-16429072,32858144
85300,16429072,0,16429072,0
85400,17985175,0,-17985175,35970350
85400,17985175,0,17985175,0
90100,0,181680337,181680337,-363360674
90100,0,181680337,-181680337,0
90300,0,13441220,13441220,-26882440
90300,0,13441220,-13441220,0
90700,0,5212288,5212288,-10424576
90700,0,5212288,-5212288,0
91000,0,0,0,0
91400,0,18997000,18997000,-37994000
91400,0,18997000,-18997000,0
91500,0,0,0,0
92100,0,99554260,99554260,-199108520
92100,0,99554260,-99554260,0
92201,0,718386,718386,-1436772
92201,0,718386,-718386,0
92500,0,817976776,817976776,-1635953552
92500,0,817976776,-817976776,0
93000,0,17697176,17697176,-35394352
93000,0,17697176,-17697176,0
93100,136983058,0,-136983058,273966116
93100,136983058,0,136983058,0
93200,744181,0,-744181,1488362
93200,744181,0,744181,0
93300,8600000,0,-8600000,17200000
93300,8600000,0,8600000,0
93500,13286083,0,-13286083,26572166
93500,13286083,0,13286083,0
94000,16200000,0,-16200000,32400000
94000,16200000,0,16200000,0
94600,560985444,0,-560985444,1121970888
94600,560985444,0,560985444,0
95000,22000,0,-22000,44000
95000,22000,0,22000,0
95100,4289392,0,-4289392,8578784
95100,4289392,0,4289392,0
95500,11000000,0,-11000000,22000000
95500,11000000,0,11000000,0
96000,13944550,0,-13944550,27889100
96000,13944550,0,13944550,0
98300,99999000,0,-99999000,199998000
98300,99999000,0,99999000,0
99800,1018572999,0,-1018572999,2037145998
99800,1018572999,0,1018572999,0
